ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,description,genres_raw,match_method
440234743,The Testament,John Grisham,1999,Dell,"In a plush Virginia office, a rich, angry old man is furiously rewriting his will. With his death just hours away, Troy Phelan wants to send a message to his children, his ex-wives, and his minions, a message that will touch off a vicious legal battle and transform dozens of lives.Because Troy Phelan's new will names a sole surprise heir to his eleven-billion-dollar fortune: a mysterious woman named Rachel Lane, a missionary living deep in the jungles of Brazil.Enter the lawyers. Nate O'Riley is fresh out of rehab, a disgraced corporate attorney handpicked for his last job: to find Rachel Lane at any cost. As Phelan's family circles like vultures in D.C., Nate is crashing through the Brazilian jungle, entering a world where money means nothing, where death is just one misstep away, and where a woman - pursued by enemies and friends alike - holds a stunning surprise of her own.","['Fiction', 'Thriller', 'Mystery', 'Legal Thriller', 'Suspense', 'Crime', 'Mystery Thriller', 'Law', 'Adult Fiction', 'Novels']",isbn
609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,Three Rivers Press,"The Onion has quickly become the world's most popular humor publication, misinforming half a million readers a week with one-of-a-kind social satire both in print (on newsstands nationwide) and online from its remote office in Madison, Wisconsin.Witness the march of history as Editor-in-Chief Scott Dikkers and The Onion's award-winning writing staff present the twentieth century like you've never seen it before.","['Humor', 'History', 'Comedy', 'Nonfiction', 'Politics', 'Reference', 'Journalism', 'Pop Culture', 'American', 'American History']",isbn
375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,Random House Trade Paperbacks,"A novel of startling scope and ambition, Prague depicts an intentionally lost Lost Generation as it follows five American expats who come to Budapest in the early 1990s to seek their fortune. They harbor the vague suspicion that their counterparts in Prague have it better, but still they hope to find adventure, inspiration, a gold rush, or history in the making.","['Fiction', 'Historical Fiction', 'Travel', 'Hungary', 'Literature', 'Novels', 'Literary Fiction', 'Historical', 'Contemporary', 'American']",isbn
553582747,From the Corner of His Eye,Dean Koontz,2001,Bantam Books,"His birth was marked by wonder and tragedy. He sees beauty and terror beyond our deepest dreams. His story will change the way you see the world. On the heels of his #1 bestseller False Memory, Dean Koontz brings together his most compelling themes and an unforgettable cast of characters to create what is perhaps the most thrilling and emotionally powerful work of his critically acclaimed career. Bartholomew Lampion is born on a day of tragedy and terror that will mark his family forever. All agree that his unusual eyes are the most beautiful they have ever seen. On this same day, a thousand miles away, a ruthless man learns that he has a mortal enemy named Bartholomew. He embarks on a relentless search to find this enemy, a search that will consume his life. And a girl is born from a brutal rape, her destiny mysteriously linked to Barty and the man who stalks him. At the age of three, Barty Lampion is blinded when surgeons remove his eyes to save him from a fast-spreading cancer. As he copes with his blindness and proves to be a prodigy, his mother counsels him that all things happen for a reason and that every person' s life has an effect on every other person' s, in often unknowable ways. At thirteen, Bartholomew regains his sight. How he regains it, why he regains it, and what happens as his amazing life unfolds and entwines with others results in a breathtaking journey of courage, heart-stopping suspense, and high adventure.","['Horror', 'Fiction', 'Thriller', 'Suspense', 'Mystery', 'Fantasy', 'Mystery Thriller', 'Supernatural', 'Paranormal', 'Science Fiction']",isbn
440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,Dell,"From the New York Times bestselling author of Circle of Friends, The Glass Lake, and Evening Class comes a stunning collection of fifteen Christmas stories filled with Maeve Binchy's trademark wit, charm, and sheer storytelling genius. In A Typical Irish Christmas, a grieving widower heads for a holiday in Ireland and finds an unexpected destination not just for himself, but for a father and daughter in crisis. . . . In Pulling Together, a teacher not yet out of her twenties sees her affair with a married man at a turning point as Christmas Eve approaches. . . . And in the title story, This Year It Will Be Different, a woman with a complacent husband and grown children enters a season that will forever alter her life, and theirs. . .","['Fiction', 'Short Stories', 'Christmas', 'Romance', 'Irish Literature', 'Ireland', 'Chick Lit', 'Contemporary', 'Holiday', 'Womens Fiction']",isbn
842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,Tyndale House Publishers,"An airborne Boeing 747 is headed to London when, without any warning, passengers mysteriously disappear from their seats. Terror and chaos slowly spread not only through the plane but also worldwide as unusual events continue to unfold. For those who have been left behind, the apocalypse has just begun...","['Fiction', 'Christian', 'Christian Fiction', 'Religion', 'Fantasy', 'Thriller', 'Christianity', 'Science Fiction', 'Apocalyptic', 'Spirituality']",isbn
679865691,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,1995,Laurel Leaf,"The world of Newbery Honor book ""Shabanu"" is vividly re-created in this novel of a young Pakistani woman's heartbreaking struggle against the tyranny of custom and ancient law. Shabanu, now a mother at 18, faces daily challenges to her position in her husband's household, even as she plans for her young daughter's education and uncertain future. Then, during a visit to the ""haveli, "" their home in the city of Lahore, Shabanu falls in love with Omar, in spite of traditions that forbid their union.","['Young Adult', 'Fiction', 'Historical Fiction', 'Pakistan', 'Teen', 'Historical', 'Middle Grade', 'Romance', 'Cultural', 'Childrens']",isbn
345465083,Seabiscuit,LAURA HILLENBRAND,2003,Ballantine Books,"There's an alternate cover edition hereSeabiscuit was one of the most electrifying and popular attractions in sports history and the single biggest newsmaker in the world in 1938, receiving more coverage than FDR, Hitler, or Mussolini. But his success was a surprise to the racing establishment, which had written off the crooked-legged racehorse with the sad tail. Three men changed Seabiscuit’s fortunes:Charles Howard was a onetime bicycle repairman who introduced the automobile to the western United States and became an overnight millionaire. When he needed a trainer for his new racehorses, he hired Tom Smith, a mysterious mustang breaker from the Colorado plains. Smith urged Howard to buy Seabiscuit for a bargain-basement price, then hired as his jockey Red Pollard, a failed boxer who was blind in one eye, half-crippled, and prone to quoting passages from Ralph Waldo Emerson. Over four years, these unlikely partners survived a phenomenal run of bad fortune, conspiracy, and severe injury to transform Seabiscuit from a neurotic, pathologically indolent also-ran into an American sports icon. Author Laura Hillenbrand brilliantly re-creates a universal underdog story, one that proves life is a horse race.From the Hardcover edition.","['Nonfiction', 'History', 'Biography', 'Sports', 'Animals', 'Horses', 'Historical', 'Biography Memoir', 'American History', 'Horse Racing']",isbn
441783589,Starship Troopers,Robert A. Heinlein,1987,Ace Books,"The historians can’t seem to settle whether to call this one ""The Third Space War"" (or the fourth), or whether ""The First Interstellar War"" fits it better. We just call it “The Bug War."" Everything up to then and still later were ""incidents,"" ""patrols,"" or ""police actions."" However, you are just as dead if you buy the farm in an ""incident"" as you are if you buy it in a declared war...In one of Robert A. Heinlein’s most controversial bestsellers, a recruit of the future goes through the toughest boot camp in the Universe—and into battle with the Terran Mobile Infantry against mankind’s most alarming enemy.","['Science Fiction', 'Fiction', 'Classics', 'Military Fiction', 'War', 'Science Fiction Fantasy', 'Space Opera', 'Fantasy', 'Space', 'Audiobook']",isbn
394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,1988,Laurel Leaf,"Sally is sixteen and uncommonly pretty. Her knowledge of English literature, French, history, art and music is non-existent, but she has a thorough grounding in military tactics, can run a business, ride like a Cossack and shoot straight with a pistol.When her dear father is drowned in suspicious circumstances in the South China Sea, Sally is left to fend for herself, an orphan and alone in the smoky fog of Victorian London. Though she doesn't know it, Sally is already in terrible danger. Soon the mystery and the danger will deepen - and at the rotten heart of it all lies the deadly secret of the ruby in the smoke...","['Mystery', 'Young Adult', 'Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Adventure', 'Crime', 'Victorian', 'Teen']",isbn
