User-ID,Location,Age,city,state,country
17,"chesapeake, virginia, usa",,chesapeake,virginia,usa
242,"neuffen, baden-wuerttemberg, germany",37,neuffen,baden-wuerttemberg,germany
243,"arden hills, minnesota, usa",,arden hills,minnesota,usa
244,"college station, texas, usa",,college station,texas,usa
254,"minneapolis, minnesota, usa",24,minneapolis,minnesota,usa
383,"carmichael, california, usa",,carmichael,california,usa
388,"nashville, tennessee, usa",35,nashville,tennessee,usa
408,"mountain view, california, usa",17,mountain view,california,usa
424,"portland, oregon, usa",29,portland,oregon,usa
446,"chevy chase, dc, usa",,chevy chase,dc,usa
487,"houston, texas, usa",,houston,texas,usa
503,"el centro, california, usa",40,el centro,california,usa
507,"dumas, arkansas, usa",,dumas,arkansas,usa
567,"spokane, washington, usa",,spokane,washington,usa
595,"hollywood, florida, usa",17,hollywood,florida,usa
638,"san diego, california, usa",20,san diego,california,usa
651,"interlachen, florida, usa",26,interlachen,florida,usa
709,"roanoke, virginia, usa",14,roanoke,virginia,usa
735,"cortland, new york, usa",29,cortland,new york,usa
741,"novinger, missouri, usa",16,novinger,missouri,usa
776,"auckland, n/a, new zealand",23,auckland,n/a,new zealand
805,"sonoma, california, usa",34,sonoma,california,usa
843,"deer lodge, tennessee, usa",25,deer lodge,tennessee,usa
853,"chesterfield, michigan, usa",24,chesterfield,michigan,usa
876,"hanover, massachusetts, usa",33,hanover,massachusetts,usa
882,"berkeley, california, usa",23,berkeley,california,usa
901,"worcester, worcestershire, united kingdom",21,worcester,worcestershire,united kingdom
915,"humble, texas, usa",50,humble,texas,usa
929,"king of prussia, ,",36,king of prussia,,
1025,"maidstone, england, united kingdom",33,maidstone,england,united kingdom
1032,"lockhart, texas, usa",,lockhart,texas,usa
1075,"hurst, texas, usa",49,hurst,texas,usa
1129,"bothell, washington, usa",53,bothell,washington,usa
1131,"berkeley, ,",22,berkeley,,
1167,"milwaukee, wisconsin, usa",25,milwaukee,wisconsin,usa
1184,"la mirada, california, usa",38,la mirada,california,usa
1211,"rennes, bretagne, france",22,rennes,bretagne,france
1248,"dixon, california, usa",,dixon,california,usa
1261,"el paso, texas, usa",46,el paso,texas,usa
1331,"lisboa, n/a, portugal",32,lisboa,n/a,portugal
1348,"sacramento, california, usa",43,sacramento,california,usa
1412,"winston-salem, north carolina, usa",47,winston-salem,north carolina,usa
1424,"north avoca, new south wales, australia",,north avoca,new south wales,australia
1435,"st. louis, missouri, usa",36,st. louis,missouri,usa
1548,"brooklyn, new york, usa",28,brooklyn,new york,usa
1608,"collingswood, new jersey, usa",27,collingswood,new jersey,usa
1660,"fort worth, texas, usa",,fort worth,texas,usa
1674,"minneapolis, minnesota, usa",26,minneapolis,minnesota,usa
1706,"olympia, washington, usa",26,olympia,washington,usa
1725,"palma, illes balears, united kingdom",25,palma,illes balears,united kingdom
1733,"independence, west virginia, usa",30,independence,west virginia,usa
1790,"chicago, illinois, usa",25,chicago,illinois,usa
1791,"harrisburg, pennsylvania, usa",,harrisburg,pennsylvania,usa
1848,"bellingham, washington, usa",22,bellingham,washington,usa
1903,"hualien, taiwan, taiwan",36,hualien,taiwan,taiwan
1928,"kansas city, missouri, usa",17,kansas city,missouri,usa
2012,"bray, wicklow,",34,bray,wicklow,
2030,"seabeck, washington, usa",31,seabeck,washington,usa
2033,"omaha, nebraska, usa",27,omaha,nebraska,usa
2041,"playa del rey, california, usa",,playa del rey,california,usa
2046,"philadelphia, missouri, usa",22,philadelphia,missouri,usa
2090,"dudley, massachusetts, usa",28,dudley,massachusetts,usa
2103,"minneapolis, minnesota, usa",43,minneapolis,minnesota,usa
2106,"denver, colorado, usa",44,denver,colorado,usa
2110,"charlotte, north carolina, usa",,charlotte,north carolina,usa
2132,"hammond, indiana, usa",,hammond,indiana,usa
2134,"oakland, california, usa",35,oakland,california,usa
2179,"sunderland, massachusetts, usa",30,sunderland,massachusetts,usa
2276,"niskayuna, new york, usa",46,niskayuna,new york,usa
2287,"north chili, new york, usa",35,north chili,new york,usa
2288,"spring hill, tennessee, usa",30,spring hill,tennessee,usa
2313,"cincinnati, ohio, usa",23,cincinnati,ohio,usa
2337,"grove city, ohio, usa",34,grove city,ohio,usa
2358,"bryan, texas, usa",23,bryan,texas,usa
2375,"norfolk, virginia, usa",20,norfolk,virginia,usa
2437,"san antonio, texas, usa",45,san antonio,texas,usa
2481,"st. louis, missouri, usa",,st. louis,missouri,usa
